TEXT,FROM_USER,CREATED_AT
any #lawdi comments on: RT @prototypo: There's a new draft of the #LinkedData patterns book available: http://t.co/y05FD3P4 ?,yennits,"Tue, 05 Jun 2012 10:59:52 +0000"
@classicslib I really appreciated your first #lawdi installment. At my level!,seraudnitz,"Tue, 05 Jun 2012 10:55:03 +0000"
This AM instead of blogging #lawdi I am prepping to demo searching for articles on ADHD. #wearsmanydisparatehats,classicslib,"Tue, 05 Jun 2012 10:52:24 +0000"
"RT @ekansa: #lawdi @edsu MT ""if RDFs notion of a resource isn't the same as HTTPs and the Web's I think I care about RDF a little less ... just sayin'""",classicslib,"Tue, 05 Jun 2012 10:43:36 +0000"
RT @yennits: as discussed at #lawdi: RT @MirthNews: RT @kerfors: @motorcycle_guy Digital Object Identifiers (DOI:s) as Linked Data http://t.co/Qxwuvuov,classicslib,"Tue, 05 Jun 2012 10:43:28 +0000"
as discussed at #lawdi: RT @MirthNews: RT @kerfors: @motorcycle_guy Digital Object Identifiers (DOI:s) as Linked Data http://t.co/Qxwuvuov,yennits,"Tue, 05 Jun 2012 03:51:04 +0000"
"#lawdi @edsu MT ""if RDFs notion of a resource isn't the same as HTTPs and the Web's I think I care about RDF a little less ... just sayin'""",ekansa,"Tue, 05 Jun 2012 02:27:08 +0000"
My followers jumped too! RT @ryanfb: @ISAWLibrary posting your site to AWOL is the key to going viral https://t.co/aTOdRAFS #lawdi,JD_PhD,"Tue, 05 Jun 2012 01:29:46 +0000"
Thanks for your hard work putting it together! RT @sebhth @NEH_ODH rocks the house! We really appreciate your support for #LAWDI.,NEH_ODH,"Tue, 05 Jun 2012 00:52:36 +0000"
AWLD JS library does http://t.co/nU18V6G0 via @sebhth and @ryanfb See papyri-info link on http://t.co/2DXY8JN1 #lawdi (with sampi! #_),paregorios,"Mon, 04 Jun 2012 22:32:48 +0000"
"@eltonteb hugely enjoyed my time with you, and the rest of the #lawdi folks! What a joy to work, share ideas with such fine folks!",ekansa,"Mon, 04 Jun 2012 21:20:45 +0000"
luncheoned with @ekansa at 'it's good enough to eat' http://t.co/ylree876 - hashbrown AND crumble. Now I can't move. #doingleifproud #lawdi,eltonteb,"Mon, 04 Jun 2012 19:13:40 +0000"
RT @sebhth: @ryanfb merged your pull request into awld-js. Thx. See papyri-info link on http://t.co/faZryTss #lawdi #byproduct,eltonteb,"Mon, 04 Jun 2012 18:58:11 +0000"
Some photos from the #lawdi experience in NYC at ISAW: http://t.co/cHC5NZ2v,portableant,"Mon, 04 Jun 2012 18:57:34 +0000"
@ryanfb merged your pull request into awld-js. Thx. See papyri-info link on http://t.co/faZryTss #lawdi #byproduct,sebhth,"Mon, 04 Jun 2012 18:02:43 +0000"
"Have created #LOD action plan! Will tweet progress using #LODaction. First up, install pop-up plugin http://t.co/KALqa4vj #LAWDI",ByzCapp,"Mon, 04 Jun 2012 17:31:47 +0000"
"If you liked #LAWDI , you'll love #dhsi2012",sebhth,"Mon, 04 Jun 2012 17:03:00 +0000"
"RT @eltonteb: great opening blog by @classicslib on #lawdi, explaining the principles, and value, of linked data to the uninitiated http://t.co/ESWAPc6V",portableant,"Mon, 04 Jun 2012 16:25:49 +0000"
"RT @eltonteb: great opening blog by @classicslib on #lawdi, explaining the principles, and value, of linked data to the uninitiated http://t.co/ESWAPc6V",adreinhard,"Mon, 04 Jun 2012 15:21:21 +0000"
"great opening blog by @classicslib on #lawdi, explaining the principles, and value, of linked data to the uninitiated http://t.co/ESWAPc6V",eltonteb,"Mon, 04 Jun 2012 15:17:14 +0000"
RT @sebhth: Started a page of #LAWDI documents on #digiclass http://t.co/nCYmf5q1 . More to come...,eltonteb,"Mon, 04 Jun 2012 15:13:02 +0000"
RT @classicslib: Just put my #lawdi reimbursment stuff in the mail. Be kind to hardworking admins - send yours in today!,paregorios,"Mon, 04 Jun 2012 14:52:21 +0000"
Folks who loved the energy of #lawdi should consider a #thatcamp - i.e.: http://t.co/hwpITXGb,classicslib,"Mon, 04 Jun 2012 13:54:58 +0000"
"RT @nowviskie: Enjoying all the tweets from #lawdi: http://t.co/QpI41CbX (made even better by reading the hashtag as the Southern exclamation, ""Lordy!"")",1n9r1d,"Mon, 04 Jun 2012 13:26:14 +0000"
RT @classicslib: Starting to blog about #lawdi http://t.co/OWIhkC8D,thememorious,"Mon, 04 Jun 2012 13:23:28 +0000"
RT @classicslib: Starting to blog about #lawdi http://t.co/OWIhkC8D,darkure,"Mon, 04 Jun 2012 13:14:50 +0000"
Just put my #lawdi reimbursment stuff in the mail. Be kind to hardworking admins - send yours in today!,classicslib,"Mon, 04 Jun 2012 12:06:54 +0000"
RT @classicslib: Starting to blog about #lawdi http://t.co/OWIhkC8D,sebhth,"Mon, 04 Jun 2012 11:19:32 +0000"
Started a page of #LAWDI documents on #digiclass http://t.co/nCYmf5q1 . More to come...,sebhth,"Mon, 04 Jun 2012 11:11:05 +0000"
Starting to blog about #lawdi http://t.co/OWIhkC8D,classicslib,"Mon, 04 Jun 2012 11:01:10 +0000"
Editing a #lawdi #breakout page => Game of Thrones season finale => editing a lawdi breakout page...,adreinhard,"Mon, 04 Jun 2012 00:42:35 +0000"
Hey #lawdi folks. My slides are now on slideshare: http://t.co/FX89X40A Links @ http://t.co/7c1obNbm Let me know if you need anything else!,chrpr,"Sun, 03 Jun 2012 21:28:21 +0000"
RT @sebhth: @NEH_ODH rocks the house! We really appreciate your support for #LAWDI.,portableant,"Sun, 03 Jun 2012 21:00:46 +0000"
Great site & database. Awful URIs. #lawdi http://t.co/K1hn2c59,JD_PhD,"Sun, 03 Jun 2012 20:36:41 +0000"
"Home, sweet home. I hear other #lawdi folks are in snafus. Hang in there, good luck!",sgillies,"Sun, 03 Jun 2012 20:28:24 +0000"
"RT @ryanfb: Apparently, @ISAWLibrary posting your site to AWOL is the key to going viral: https://t.co/1Q6rbwlp #lawdi",sgillies,"Sun, 03 Jun 2012 17:50:58 +0000"
"Apparently, @ISAWLibrary posting your site to AWOL is the key to going viral: https://t.co/1Q6rbwlp #lawdi",ryanfb,"Sun, 03 Jun 2012 17:39:09 +0000"
RT @sebhth: @NEH_ODH rocks the house! We really appreciate your support for #LAWDI.,eltonteb,"Sun, 03 Jun 2012 16:57:17 +0000"
RT @sebhth: @NEH_ODH rocks the house! We really appreciate your support for #LAWDI.,hcayless,"Sun, 03 Jun 2012 16:22:12 +0000"
@NEH_ODH rocks the house! We really appreciate your support for #LAWDI.,sebhth,"Sun, 03 Jun 2012 16:10:43 +0000"
#Lawdi thank you to the Lawdi organizers for a great 3 days. thinking about URIs and RDF on the train home. let's keep the momentum going,elli_m,"Sun, 03 Jun 2012 15:49:19 +0000"
Thanks to all for a great conference! Started a #Zotero #LAWDI biblio page from tweeted cites: http://t.co/KxK51KRP Help fill it up!,JD_PhD,"Sun, 03 Jun 2012 15:41:55 +0000"
#lawdi I'm with @ByzCapp : Wow. Thanks and hugs to all.,sebhth,"Sun, 03 Jun 2012 13:43:48 +0000"
#lawdi faculty on 5/30 back from the planning session at ISAW. Looks like something from a band's press kit :) http://t.co/QfVf01bw,adreinhard,"Sun, 03 Jun 2012 13:41:33 +0000"
"bidding farewell to participants in the Linked Ancient World Data Institute, funded by @NEH_ODH. Watch for #lawdi 2013 applications in fall",isawnyu,"Sun, 03 Jun 2012 13:26:43 +0000"
RT @paregorios: I can't say enough thanks to everyone who participated in and supported #lawdi . Safe travels!,ewg118,"Sun, 03 Jun 2012 13:25:06 +0000"
I can't say enough thanks to everyone who participated in and supported #lawdi . Safe travels!,paregorios,"Sun, 03 Jun 2012 13:24:45 +0000"
just interviewed the amazing Adam Rabinowitz about the Chersonese Pompei and Geodia http://t.co/zn3weNw4 Watch this space #lawdi,ClassicsConfide,"Sun, 03 Jun 2012 12:37:14 +0000"
#lawdi ~ thanks to all those on 'the inside' who kept those of us on 'the outside' informed with their tweets!!! very successful demo,rogueclassicist,"Sun, 03 Jun 2012 11:09:18 +0000"
"Echoing other Lawdites, thanks to ISAW & #lawdi organizers, and thanks to all for inspiring conversation and ideas. Time to act on those.",adreinhard,"Sun, 03 Jun 2012 11:05:22 +0000"
"To follow @eltonteb 's lead, I also meant to say that link-building is now part of the production cycle for publications #lawdi",adreinhard,"Sun, 03 Jun 2012 11:00:00 +0000"
Considering trek down to the High Line before I need to leave for LGA at 11am #lawdi #sleepwhatsleep,classicslib,"Sun, 03 Jun 2012 10:52:23 +0000"
A #lawdi PS from me: link data incrementally by building links with people + projects with whom you want to work #pointishouldhavemadeintalk,eltonteb,"Sun, 03 Jun 2012 10:49:18 +0000"
Heading back to Blighty #lawdi > JFK > LHR,portableant,"Sun, 03 Jun 2012 09:23:34 +0000"
"Wow, lawdites. Just wow. My thanks and admiration for you all runs deep. #lawdi",ByzCapp,"Sun, 03 Jun 2012 04:53:23 +0000"
"RT @davidamichelson: Thank you #lawdi organizers and participants, what a great chance to learn new things from inspiring scholars and new friends!",portableant,"Sun, 03 Jun 2012 04:33:45 +0000"
"Thank you #lawdi organizers and participants, what a great chance to learn new things from inspiring scholars and new friends!",davidamichelson,"Sun, 03 Jun 2012 04:33:03 +0000"
RT @nopiedra: #linkeddata Linked ancient world data institute #lawdi http://t.co/FNLgHKAm,ae_romero,"Sun, 03 Jun 2012 04:01:00 +0000"
RT @hcayless: More wisdom from @sebhth: get off the wave before you jump the shark. #lawdi,portableant,"Sun, 03 Jun 2012 02:56:00 +0000"
"“@portableant: @adreinhard @ekansa @ewg118 we are back in dive bar, with Grubermonster #lawdi” #crowdsauce??",Menetys,"Sun, 03 Jun 2012 02:43:30 +0000"
